№ п/п,Дата обнародования информации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации об отмене решения о признании деятельности организации нежелательной на территории Российской Федерации,Дата распоряжения Минюста России о включении в перечень,Дата распоряжения Минюста России об исключении из перечня,Наименование организации,Номер распоряжения Минюста России о включении в перечень,Номер распоряжения Минюста России об исключении из перечня,Статус
73,,25.01.2023,,07.02.2023,,"Limited liability company (SIA) «Medusa Project» («Проект Медуза»), Латвийская Республика",138-р,,Включена
74,,23.01.2023,,07.02.2023,,"«The Andrei Sakharov foundation» («Фонд Андрея Сахарова»), США",139-р,,Включена
75,,30.01.2023,,13.02.2023,,«Форум свободной России» (Литовская Республика),171-р,,Включена
76,,17.02.2023,,10.03.2023,,"«Free Nations League» («Лига Свободных Наций»), Литва",274-р,,Включена
77,,03.03.2023,,21.03.2023,,"«Transparеncy International», Федеративная Республика Германия",330-р,,Включена
78,,15.03.2023,,31.03.2023,,"«Free Nations of PostRussia Forum» («Форум Свободных Народов ПостРоссии»), Польша",399-р,,Включена
79,,15.03.2023,,05.04.2023,,"Solidarität mit der Bürgerbewegung in Russland e.V. («Солидарность с гражданским движением в России – Solidarus»), ФРГ",426-р,,Включена
80,,21.03.2023,,05.04.2023,,«КрымSOS» (CrimeaSOS) (Украина),427-р,,Включена
81,,30.03.2023,,18.04.2023,,"Briva Universitate («Свободный университет»), Латвийская Республика",500-р,,Включена
82,,20.03.2023,,25.04.2023,,"The Institute for Statecraft («Институт государственного управления»),  Великобритания",528-р,,Включена
83,,10.04.2023,,25.04.2023,,"«Форум гражданского общества Россия – ЕС» («EU – Russia Civil Society Forum e.V.»), ФРГ",529-р,,Включена
84,,17.04.2023,,02.05.2023,,"Miljøstiftelsen Bellona (Экологический фонд «Беллона», Экологическое объединение «Беллона») (Королевство Норвегия)",574-р,,Включена
85,,20.04.2023,,11.05.2023,,«Союз жителей островов Тисима и Хабомаи» («Союз бывших жителей Чисимских и Хабомайских островов») (Япония),625-р,,Включена
86,,27.04.2023,,18.05.2023,,"«Съезд народных депутатов» («Kongres Deputowanych Ludowych»), Польша",659-р,,Включена
87,,18.05.2023,,29.05.2023,,"Greenpeace International (Stichting Greenpeace Council) («Гринпис Интернешнл», «Фонд Гринпис Совет», «ГРИНПИС») (Нидерланды)",703-р,,Включена
88,,22.05.2023,,01.06.2023,,"Anti-Corruption Foundation International, Inc. («Фонд борьбы с коррупцией Инк.») (США)",723-р,,Включена
89,,07.06.2023,,27.06.2023,,"«Завет церквей TCCN» (Transformation Center Covenant Network TCCN, Transformation Center Church International), США",867-р,,Включена
90,,14.06.2023,,28.06.2023,,"«Law Sofia Foundation» (Фонд «Право-София», Международная правозащитная группа «Агора»), Болгария",880-р,,Включена
91,,20.06.2023,,05.07.2023,,"«World Wide Fund for Nature» («World Wildlife Fund», «WWF», «Всемирный фонд природы») (Швейцария)",925-р,,Включена
92,,26.06.2023,,14.07.2023,,BDR Novaja Gazeta-Europe (Латвийская Республика),962-р,,Включена
93,,03.07.2023,,17.07.2023,,«The Altai Project» («Алтай проект») (США),980-р,,Включена
94,,05.07.2023,,24.07.2023,,Educational Human Rights House Chernihiv («Образовательный дом прав человека Чернигов») (Украина),1017-р,,Включена
95,,05.07.2023,,24.07.2023,,"Human Rights House Foundation (HRHF, «Фонд Дом Прав Человека») (Норвегия)",1018-р,,Включена
96,,05.07.2023,,24.07.2023,,The Barys Zvozskau Belarusian Human Rights House («Белорусский дом прав человека имени Бориса Звозскова») (Литовская Республика),1019-р,,Включена
97,,05.07.2023,,24.07.2023,,Human Rights House Tbilisi («Дом прав человека Тбилиси») (Грузия),1020-р,,Включена
98,,05.07.2023,,24.07.2023,,Human Rights House Yerevan («Дом прав человека Ереван») (Республика Армения),1021-р,,Включена
99,,05.07.2023,,24.07.2023,,Human Rights House Crimea («Дом прав человека Крым») (Украина),1022-р,,Включена
100,,17.07.2023,,02.08.2023,,Wild Salmon Center («Центр дикого лосося») (США),1056-р,,Включена
101,,21.07.2023,,04.08.2023,,"TVR Studios B.V., Королевство Нидерландов",1063-р,,Включена
102,,21.07.2023,,04.08.2023,,"SIA TV Rain («ТВ Дождь»), Латвийская Республика",1065-р,,Включена
103,,28.07.2023,,15.08.2023,,"«Центр европейских исследований им. Вилфрида Мартенса» («Martens Centre»), Королевство Бельгия",1111-р,,Включена
104,,04.08.2023,,18.08.2023,,"Conflict Intelligence Team, CIT («Сетевое объединение журналистов расследователей»), Украина",1129-р,,Включена
